,Date,Eclipse Time,Eclipse Type,Latitude,Longitude
10048,2172 May 8,08:53:18,N,19S,133W
10049,2172 October 2,03:01:41,N,3N,46W
10050,2172 October 31,17:09:17,N,16N,100E
10051,2173 March 29,11:02:23,P,3S,163W
10052,2173 September 21,14:50:18,P,1S,138E
10053,2174 March 18,14:30:50,T-,1N,146E
10054,2174 September 11,07:08:03,T+,4S,106W
10055,2175 March 7,13:59:53,P,4N,154E
10056,2175 August 31,23:19:04,P,8S,12E
10057,2176 January 26,03:03:39,N,20N,41W
10058,2176 July 21,22:36:52,P,21S,24E
10059,2177 January 14,16:08:55,P,22N,122E
10060,2177 July 11,00:25:23,T-,22S,3W
10061,2178 January 4,07:50:14,T-,23N,115W
10062,2178 June 30,01:48:39,P,23S,25W
10063,2178 December 24,21:26:20,P,23N,40E
10064,2179 May 21,00:09:10,N,21S,2W
10065,2179 June 19,09:16:11,N,22S,137W
10066,2179 November 14,11:28:05,N,19N,175W
10067,2180 May 9,16:05:58,P,18S,119E
10068,2180 November 2,10:55:47,P,16N,167W
10069,2181 April 29,08:40:08,T+,15S,129W
10070,2181 October 22,13:35:21,T-,11N,154E
10071,2182 April 18,21:14:14,P,10S,43E
10072,2182 October 11,23:38:06,P,7N,4E
10073,2183 March 9,09:24:16,N,3N,137W
10074,2183 September 2,07:15:22,N,7S,107W
10075,2183 October 1,15:05:25,N,2N,133E
10076,2184 February 26,09:05:35,P,8N,132W
10077,2184 August 21,22:38:35,T,11S,23E
10078,2185 February 14,14:03:41,T+,13N,154E
10079,2185 August 11,08:20:59,T,15S,122W
10080,2186 February 4,02:01:15,P,17N,25W
10081,2186 July 31,11:07:14,N,19S,163W
10082,2186 December 26,06:46:26,N,22N,100W
10083,2187 January 24,17:35:19,N,21N,101E
10084,2187 June 20,22:44:13,P,23S,21E
10085,2187 December 15,18:58:37,P,23N,76E
10086,2188 June 9,08:12:51,T+,23S,122W
10087,2188 December 4,00:15:39,T+,22N,5W
10088,2189 May 29,23:34:01,P,22S,8E
10089,2189 November 22,23:54:08,P,21N,1W
10090,2190 April 20,08:03:22,N,11S,119W
10091,2190 May 19,16:35:26,N,21S,112E
10092,2190 October 13,10:43:55,N,7N,162W
10093,2190 November 12,01:00:53,N,19N,18W
10094,2191 April 9,18:42:01,P,7S,82E
10095,2191 October 2,22:45:48,P,3N,18E
10096,2192 March 28,21:56:24,T-,4S,34E
10097,2192 September 21,15:02:17,T+,0S,134E
10098,2193 March 17,21:34:32,P,0N,40E
10099,2193 September 11,06:57:00,P,4S,104W
10100,2194 February 5,11:34:56,N,17N,168W
10101,2194 August 2,05:18:42,N,19S,76W
10102,2195 January 26,00:58:49,P,19N,10W
10103,2195 July 22,06:49:10,T,20S,99W
10104,2196 January 15,16:41:55,T-,21N,114E
10105,2196 July 10,08:26:05,P,22S,123W
10106,2197 January 4,06:04:04,P,22N,88W
10107,2197 May 31,07:36:04,N,23S,113W
10108,2197 June 29,16:22:52,N,22S,117E
10109,2197 November 24,19:17:17,N,22N,69E
10110,2198 May 20,23:50:32,P,21S,3E
10111,2198 November 13,18:34:28,P,19N,79E
10112,2199 May 10,16:25:22,T+,18S,115E
10113,2199 November 2,21:27:11,T-,15N,36E
10114,2200 April 30,04:44:34,P,14S,70W
10115,2200 October 23,07:44:43,P,11N,118W
10116,2201 March 20,16:55:04,N,1S,110E
10117,2201 September 13,15:03:17,N,3S,135E
10118,2201 October 12,23:14:05,N,6N,10E
10119,2202 March 9,16:51:36,P,4N,111E
10120,2202 September 3,06:05:57,T,7S,90W
10121,2203 February 26,22:20:39,T+,9N,30E
10122,2203 August 23,15:15:12,T,12S,134E
10123,2204 February 16,10:41:26,P,13N,155W
10124,2204 August 11,17:37:23,N,16S,99E
10125,2205 January 6,15:34:56,N,21N,129E
10126,2205 February 5,02:23:28,N,18N,30W
10127,2205 July 2,05:29:54,P,22S,79W
10128,2205 December 27,03:28:47,P,23N,50W
10129,2206 June 21,15:28:26,T+,23S,130E
10130,2206 December 16,08:19:07,T+,23N,124W
10131,2207 June 11,07:07:39,P,24S,105W
10132,2207 December 5,07:45:24,P,23N,117W
10133,2208 May 1,15:49:06,N,14S,124E
10134,2208 May 31,00:10:37,N,23S,2W
10135,2208 October 24,18:36:02,N,11N,80E
10136,2208 November 23,09:01:59,N,22N,137W
10137,2209 April 21,02:12:20,P,11S,31W
10138,2209 October 14,06:49:53,P,7N,104W
10139,2210 April 10,05:13:49,T-,8S,76W
10140,2210 October 3,23:03:49,T+,4N,13E
10141,2211 March 30,05:02:58,P,4S,73W
10142,2211 September 23,14:39:33,P,1N,140E
10143,2212 February 17,20:03:16,N,13N,65E
10144,2212 March 18,09:06:46,N,0S,133W
10145,2212 August 13,12:02:09,N,15S,177W
10146,2213 February 6,09:44:33,P,16N,141W
10147,2213 August 2,13:16:20,T,18S,165E
10148,2214 January 27,01:30:46,T-,18N,18W
10149,2214 July 22,15:06:54,T,20S,137E
10150,2215 January 16,14:40:00,P,20N,144E
10151,2215 June 12,14:59:57,N,25S,137E
10152,2215 July 11,23:30:24,N,21S,11E
10153,2215 December 7,03:12:05,N,24N,48W
10154,2216 June 1,07:27:36,P,23S,110W
10155,2216 November 25,02:22:56,P,21N,37W
10156,2217 May 22,00:01:35,T+,20S,1E
10157,2217 November 14,05:29:02,T-,18N,84W
10158,2218 May 11,12:05:34,P,17S,180E
10159,2218 November 3,16:00:25,P,14N,118E
10160,2219 April 1,00:18:15,N,5S,2W
10161,2219 September 24,22:55:52,N,2N,16E
10162,2219 October 24,07:29:32,N,10N,114W
10163,2220 March 20,00:32:40,P,0S,4W
10164,2220 September 13,13:36:52,P,3S,157E
10165,2221 March 9,06:32:19,T+,5N,93W
10166,2221 September 2,22:13:42,T-,8S,29E
10167,2222 February 26,19:17:36,P,9N,76E
10168,2222 August 23,00:12:08,Nx,12S,0E
10169,2223 January 18,00:22:32,N,20N,1W
10170,2223 February 16,11:07:58,N,14N,161W
10171,2223 July 13,12:17:52,N,21S,179E
10172,2224 January 7,11:58:46,P,22N,176W
10173,2224 July 1,22:43:13,T+,23S,22E
10174,2224 December 26,16:25:17,T+,23N,116E
10175,2225 June 21,14:38:56,P,24S,143E
10176,2225 December 15,15:41:08,P,24N,125E
10177,2226 May 12,23:26:43,N,17S,10E
10178,2226 June 11,07:41:30,N,24S,113W
10179,2226 November 5,02:38:01,N,14N,41W
10180,2226 December 4,17:10:21,N,24N,102E
10181,2227 May 2,09:32:27,P,15S,141W
10182,2227 October 25,15:02:23,P,11N,133E
10183,2228 April 20,12:20:32,T-,12S,177E
10184,2228 October 14,07:13:09,T+,8N,110W
10185,2229 April 9,12:21:26,P,8S,177E
10186,2229 October 3,22:29:31,P,5N,22E
10187,2230 February 28,04:27:10,N,9N,61W
10188,2230 March 29,16:58:24,N,5S,108E
10189,2230 August 24,18:48:09,N,12S,81E
10190,2231 February 17,18:27:46,P,13N,89E
10191,2231 August 13,19:45:54,P,15S,67E
10192,2232 February 7,10:17:44,T-,15N,149W
10193,2232 August 1,21:49:49,T,18S,36E
10194,2233 January 26,23:15:04,P,18N,16E
10195,2233 June 22,22:22:33,Ne,25S,27E
10196,2233 July 22,06:40:42,N,19S,97W
10197,2233 December 17,11:10:37,N,25N,166W
10198,2234 June 12,15:02:55,P,24S,137E
10199,2234 December 6,10:17:27,P,23N,155W
10200,2235 June 2,07:32:48,T-,22S,111W
10201,2235 November 25,13:38:16,T+,21N,154E
10202,2236 May 21,19:18:51,P,20S,72E
10203,2236 November 14,00:24:12,P,17N,8W
10204,2237 April 11,07:30:45,N,9S,111W
10205,2237 May 10,23:45:33,N,16S,5E
10206,2237 October 5,06:57:02,N,6N,105W
10207,2237 November 3,15:53:39,N,14N,120E
10208,2238 March 31,08:05:25,P,5S,118W
10209,2238 September 24,21:14:02,P,1N,42E
10210,2239 March 20,14:37:27,T+,0N,145E
10211,2239 September 14,05:17:34,T-,4S,78W
10212,2240 March 9,03:46:50,P,5N,52W
10213,2240 September 2,06:52:16,P,9S,101W
10214,2241 January 28,09:08:46,N,17N,132W
10215,2241 February 26,19:46:41,N,10N,69E
10216,2241 July 23,19:08:10,N,19S,77E
10217,2242 January 17,20:28:26,P,20N,58E
10218,2242 July 13,05:59:11,T,22S,86W
10219,2243 January 7,00:33:44,T+,23N,5W
10220,2243 July 2,22:07:19,T,23S,32E
10221,2243 December 26,23:42:17,P,24N,7E
10222,2244 May 23,06:56:57,N,19S,102W
10223,2244 June 21,15:07:43,N,25S,136E
10224,2244 November 15,10:48:54,N,17N,163W
10225,2244 December 15,01:25:20,N,25N,21W
10226,2245 May 12,16:43:42,P,18S,111E
10227,2245 November 4,23:23:16,P,15N,8E
10228,2246 May 1,19:20:11,T-,15S,72E
10229,2246 October 25,15:28:38,T+,12N,126E
10230,2247 April 20,19:34:24,P,12S,68E
10231,2247 October 15,06:25:30,P,9N,98W
10232,2248 March 10,12:44:45,N,5N,174E
10233,2248 April 9,00:42:30,N,9S,9W
