,Date,Eclipse Time,Eclipse Type,Latitude,Longitude
10853,2498 September 30,16:05:36,Nx,4N,122E
10854,2499 March 27,16:22:54,T-,3S,122E
10855,2499 September 19,20:14:17,T+,1S,61E
10856,2500 March 17,03:30:27,P,2N,44W
10857,2500 September 9,07:45:59,P,6S,111W
10858,2501 March 6,07:13:33,N,7N,99W
10859,2501 July 31,17:06:36,N,17S,111E
10860,2501 August 30,00:04:13,N,10S,6E
10861,2502 January 24,12:26:40,Nx,18N,178W
10862,2502 July 21,08:11:07,P,20S,115W
10863,2503 January 13,18:27:08,T,21N,91E
10864,2503 July 10,17:04:26,T-,22S,112E
10865,2504 January 3,07:13:07,T,23N,101W
10866,2504 June 28,19:14:33,P,24S,79E
10867,2504 December 22,22:54:41,N,24N,22E
10868,2505 May 19,07:09:44,N,19S,102W
10869,2505 November 12,23:47:37,P,17N,6E
10870,2506 May 8,17:18:30,T,17S,106E
10871,2506 November 2,04:15:24,T,14N,62W
10872,2507 April 28,08:48:07,T,14S,127W
10873,2507 October 22,04:00:56,T,11N,58W
10874,2508 March 18,15:08:38,N,2N,142E
10875,2508 April 17,01:15:51,N,12S,13W
10876,2508 October 10,06:29:19,N,8N,95W
10877,2509 March 8,00:13:07,P,6N,6E
10878,2509 August 31,07:27:37,P,9S,105W
10879,2510 February 25,02:01:15,T+,9N,21W
10880,2510 August 21,00:21:36,T-,12S,2E
10881,2511 February 14,01:22:52,P,13N,11W
10882,2511 August 10,16:12:02,P,15S,125E
10883,2512 February 3,05:43:56,N,16N,77W
10884,2512 June 30,13:51:10,N,24S,160E
10885,2512 July 30,02:35:53,N,17S,31W
10886,2512 December 24,06:15:46,P,24N,88W
10887,2513 June 19,14:55:56,P,24S,143E
10888,2513 December 13,21:58:14,T,23N,35E
10889,2514 June 8,17:01:23,T+,23S,111E
10890,2514 December 3,10:39:16,T,22N,156W
10891,2515 May 29,01:46:15,P,21S,21W
10892,2515 November 22,16:34:46,N,19N,114E
10893,2516 April 18,08:44:26,P,12S,125W
10894,2516 October 11,23:17:01,N,8N,14E
10895,2517 April 8,00:32:52,T-,7S,1W
10896,2517 October 1,03:41:07,T,4N,51W
10897,2518 March 28,11:27:42,P,3S,164W
10898,2518 September 20,15:27:28,T,1S,133E
10899,2519 March 17,14:56:26,N,2N,145E
10900,2519 August 12,00:36:43,N,14S,2W
10901,2519 September 10,07:48:23,N,6S,111W
10902,2520 February 4,20:36:27,Nx,15N,60E
10903,2520 July 31,15:22:37,P,17S,138E
10904,2521 January 24,03:01:30,T,19N,36W
10905,2521 July 20,23:47:33,T-,20S,11E
10906,2522 January 13,16:02:19,T,22N,128E
10907,2522 July 10,01:40:39,P,23S,17W
10908,2523 January 3,07:44:09,N,24N,109W
10909,2523 May 30,14:13:13,N,21S,153E
10910,2523 November 24,07:55:24,Nx,19N,116W
10911,2524 May 19,00:54:02,T,19S,8W
10912,2524 November 12,11:52:58,T,18N,176W
10913,2525 May 8,16:42:30,T,18S,115E
10914,2525 November 1,11:26:31,T,15N,169W
10915,2526 April 28,09:13:29,N,15S,133W
10916,2526 October 21,14:05:41,N,12N,151E
10917,2527 March 19,08:09:29,P,1N,114W
10918,2527 September 11,15:08:19,P,5S,139E
10919,2528 March 7,09:46:47,T+,5N,137W
10920,2528 August 31,08:00:19,T-,8S,113W
10921,2529 February 24,09:21:26,P,9N,131W
10922,2529 August 20,23:32:24,P,11S,14E
10923,2530 February 13,14:09:12,N,12N,157E
10924,2530 July 11,20:27:10,N,23S,62E
10925,2530 August 10,09:26:46,N,14S,134W
10926,2531 January 4,15:06:28,P,24N,141E
10927,2531 June 30,21:23:33,P,24S,47E
10928,2531 December 25,06:43:03,T,24N,94W
10929,2532 June 18,23:51:43,T+,23S,9E
10930,2532 December 13,19:02:44,T,23N,79E
10931,2533 June 8,09:07:46,P,22S,130W
10932,2533 December 3,00:30:10,N,21N,4W
10933,2534 April 29,16:45:47,P,16S,114E
10934,2534 October 23,06:38:03,N,12N,97W
10935,2535 April 19,08:33:01,T-,11S,122W
10936,2535 October 12,11:18:38,T,8N,166W
10937,2536 April 7,19:13:18,P,7S,79E
10938,2536 September 30,23:18:44,T,3N,15E
10939,2537 March 27,22:29:42,N,2S,31E
10940,2537 August 22,08:09:08,N,10S,115W
10941,2537 September 20,15:38:06,N,2S,131E
10942,2538 February 15,04:44:31,Nx,12N,61W
10943,2538 August 11,22:33:32,P,14S,30E
10944,2539 February 4,11:35:58,T,16N,164W
10945,2539 August 1,06:28:18,T-,18S,88W
10946,2540 January 25,00:52:56,T,20N,4W
10947,2540 July 20,08:06:21,P,21S,113W
10948,2541 January 13,16:35:03,N,22N,120E
10949,2541 June 9,21:15:08,N,22S,48E
10950,2541 July 9,09:38:29,Nb,24S,136W
10951,2541 December 4,16:08:21,N,21N,122E
10952,2542 May 30,08:25:22,T,21S,120W
10953,2542 November 23,19:37:00,T,20N,69E
10954,2543 May 20,00:31:08,T,20S,2W
10955,2543 November 12,19:00:51,T,18N,77E
10956,2544 May 8,17:03:20,N,18S,110E
10957,2544 October 31,21:52:27,N,15N,34E
10958,2545 March 29,15:56:33,P,3S,129E
10959,2545 September 21,22:55:50,P,1S,22E
10960,2546 March 18,17:24:17,T+,1N,108E
10961,2546 September 11,15:43:56,T-,4S,130E
10962,2547 March 7,17:12:49,P,5N,111E
10963,2547 September 1,06:56:14,P,8S,97W
10964,2548 February 24,22:29:44,N,8N,32E
10965,2548 July 22,03:01:34,N,21S,36W
10966,2548 August 20,16:20:01,N,11S,122E
10967,2549 January 14,23:58:01,P,22N,10E
10968,2549 July 11,03:50:12,P,23S,49W
10969,2550 January 4,15:31:00,T,23N,135E
10970,2550 June 30,06:38:43,T+,23S,91W
10971,2550 December 25,03:31:04,T,23N,46W
10972,2551 June 19,16:25:17,P,23S,121E
10973,2551 December 14,08:31:21,N,22N,122W
10974,2552 May 10,00:40:14,P,19S,4W
10975,2552 June 8,07:57:03,Nb,21S,112W
10976,2552 November 2,14:09:22,N,16N,150E
10977,2553 April 29,16:26:25,T,15S,120E
10978,2553 October 22,19:04:11,T,12N,77E
10979,2554 April 19,02:51:33,P,11S,36W
10980,2554 October 12,07:17:08,T,7N,105W
10981,2555 April 8,05:53:58,N,6S,81W
10982,2555 September 2,15:45:57,Ne,6S,130E
10983,2555 October 1,23:35:11,N,2N,11E
10984,2556 February 26,12:48:08,N,8N,178E
10985,2556 August 22,05:48:05,P,11S,79W
10986,2557 February 14,20:06:30,T,12N,69E
10987,2557 August 11,13:11:57,T+,15S,171E
10988,2558 February 4,09:41:29,T,17N,135W
10989,2558 July 31,14:32:26,P,19S,151E
10990,2559 January 25,01:25:29,N,20N,11W
10991,2559 June 21,04:13:10,N,22S,55W
10992,2559 July 20,16:18:32,N,22S,125E
10993,2559 December 16,00:26:02,N,22N,1W
10994,2560 June 9,15:52:08,P,22S,129E
10995,2560 December 4,03:28:39,T,22N,48W
10996,2561 May 30,08:13:38,T-,22S,117W
10997,2561 November 23,02:43:40,T,21N,37W
10998,2562 May 20,00:45:23,P,21S,5W
10999,2562 November 12,05:48:45,Nx,19N,84W
11000,2563 April 9,23:33:33,P,7S,15E
11001,2563 October 3,06:51:07,P,3N,98W
11002,2564 March 29,00:54:06,T,3S,5W
11003,2564 September 21,23:33:16,T,0S,12E
11004,2565 March 18,00:59:22,T,1N,6W
11005,2565 September 11,14:24:12,T,4S,150E
11006,2566 March 7,06:46:52,N,4N,92W
11007,2566 August 2,09:35:06,Ne,19S,134W
11008,2566 August 31,23:15:21,N,7S,18E
11009,2567 January 26,08:49:56,P,20N,122W
11010,2567 July 22,10:17:26,P,21S,145W
11011,2568 January 16,00:18:34,T,21N,5E
11012,2568 July 10,13:27:45,T-,22S,167E
11013,2569 January 4,12:00:29,T,22N,172W
11014,2569 June 29,23:42:27,P,22S,13E
11015,2569 December 24,16:35:18,N,22N,118E
11016,2570 May 21,08:28:02,N,21S,120W
11017,2570 June 19,15:30:31,N,22S,135E
11018,2570 November 13,21:50:12,N,19N,36E
11019,2571 May 11,00:09:06,T,18S,4E
11020,2571 November 3,03:01:01,T,15N,42W
11021,2572 April 29,10:18:28,T,14S,148W
11022,2572 October 22,15:24:53,T,11N,132E
11023,2573 April 18,13:08:28,N,10S,170E
11024,2573 October 12,07:39:27,P,7N,110W
11025,2574 March 8,20:47:08,N,4N,58E
11026,2574 September 2,13:03:42,P,7S,171E
11027,2575 February 26,04:34:54,T,8N,58W
11028,2575 August 22,19:56:32,T+,11S,69E
11029,2576 February 15,18:27:33,T,13N,94E
11030,2576 August 10,21:01:26,P,16S,54E
11031,2577 February 4,10:14:49,N,17N,143W
11032,2577 July 1,11:11:08,N,22S,159W
11033,2577 July 30,23:01:14,N,19S,24E
11034,2577 December 26,08:46:27,N,22N,124W
11035,2578 June 20,23:17:05,P,23S,19E
11036,2578 December 15,11:24:39,T,23N,165W
11037,2579 June 10,15:51:26,T-,23S,130E
11038,2579 December 4,10:34:13,T,22N,154W
11039,2580 May 30,08:21:38,P,23S,118W
11040,2580 November 22,13:52:59,P,21N,155E
11041,2581 April 20,07:01:04,N,11S,97W
11042,2581 October 13,14:54:30,N,7N,141E
11043,2582 April 9,08:13:59,T,7S,115W
11044,2582 October 3,07:29:03,T,4N,107W
11045,2583 March 29,08:37:39,T,4S,121W
11046,2583 September 22,21:58:06,T,0N,36E
11047,2584 March 17,14:56:25,N,0S,145E
11048,2584 September 11,06:16:14,N,3S,88W
11049,2585 February 5,17:40:16,P,17N,106E
11050,2585 August 1,16:45:35,P,18S,119E
11051,2586 January 26,09:06:34,T,19N,126W
11052,2586 July 21,20:16:47,T-,20S,66E
11053,2587 January 15,20:31:07,T,21N,62E
11054,2587 July 11,06:58:13,P,21S,95W
11055,2588 January 5,00:42:53,N,22N,2W
11056,2588 May 31,16:10:46,N,23S,125E
11057,2588 June 29,23:02:17,N,22S,23E
11058,2588 November 24,05:39:09,N,22N,81W
11059,2589 May 21,07:46:01,T,21S,109W
11060,2589 November 13,11:06:01,T,19N,163W
11061,2590 May 10,17:36:56,T,18S,103E
11062,2590 November 2,23:40:12,T-,15N,9E
11063,2591 April 29,20:14:12,N,14S,64E
11064,2591 October 23,15:51:13,P,11N,126E
11065,2592 March 19,04:38:54,N,1S,60W
11066,2592 September 12,20:25:19,P,3S,60E
11067,2593 March 8,12:57:32,T,4N,176E
11068,2593 September 2,02:44:50,T+,7S,33W
11069,2594 February 26,03:08:54,T,9N,36W
11070,2594 August 22,03:34:22,P,12S,45W
11071,2595 February 15,18:59:22,N,13N,87E
11072,2595 July 12,18:08:13,N,20S,98E
11073,2595 August 11,05:47:49,N,16S,77W
11074,2596 January 6,17:09:04,N,21N,112E
11075,2596 July 1,06:40:09,P,22S,91W
11076,2596 December 25,19:24:44,T,23N,77E
11077,2597 June 20,23:25:26,T-,23S,17E
11078,2597 December 14,18:32:07,T,23N,88E
11079,2598 June 10,15:50:01,P,24S,131E
11080,2598 December 3,22:06:11,P,23N,34E
11081,2599 May 1,14:18:45,N,14S,153E
11082,2599 October 24,23:06:08,N,11N,18E
11083,2600 April 20,15:25:41,T,11S,137E
11084,2600 October 14,15:31:59,T,8N,132E
11085,2601 April 9,16:10:39,T,8S,126E
11086,2601 October 4,05:36:14,T,5N,79W
11087,2602 March 29,23:01:38,N,4S,23E
11088,2602 September 23,13:21:50,N,1N,165E
11089,2603 February 18,02:26:58,P,13N,25W
11090,2603 August 13,23:17:51,P,15S,21E
11091,2604 February 7,17:51:11,T,16N,104E
11092,2604 August 2,03:10:29,T-,18S,38W
11093,2605 January 27,04:58:58,T,18N,64W
11094,2605 July 22,14:16:22,P,20S,156E
11095,2606 January 16,08:50:19,N,20N,123W
11096,2606 June 12,23:46:43,N,24S,12E
11097,2606 July 12,06:31:08,N,21S,88W
11098,2606 December 6,13:36:27,N,23N,161E
11099,2607 June 2,15:13:55,P,23S,139E
11100,2607 November 25,19:20:19,P,21N,75E
11101,2608 May 22,00:45:18,T,20S,4W
11102,2608 November 14,08:04:33,T-,18N,117W
11103,2609 May 11,03:10:50,N,17S,40W
11104,2609 November 4,00:09:40,P,14N,2E
11105,2610 March 31,12:25:16,N,5S,177W
11106,2610 September 25,03:50:47,N,2N,52W
11107,2611 March 20,21:14:33,T,0S,51E
11108,2611 September 14,09:37:36,T,3S,137W
11109,2612 March 9,11:45:52,T,5N,166W
11110,2612 September 2,10:12:37,T,8S,145W
11111,2613 February 27,03:40:03,N,9N,43W
11112,2613 July 24,01:08:17,Ne,18S,7W
11113,2613 August 22,12:40:07,N,13S,180E
11114,2614 January 18,01:31:45,N,20N,13W
11115,2614 July 13,14:02:30,P,21S,159E
11116,2615 January 7,03:27:06,T,22N,42W
11117,2615 July 3,06:57:20,T-,23S,95W
11118,2615 December 27,02:33:58,T+,24N,30W
11119,2616 June 21,23:14:53,P,24S,20E
11120,2616 December 15,06:25:32,P,24N,90W
11121,2617 May 12,21:27:24,N,17S,46E
11122,2617 November 5,07:25:07,N,15N,107W
11123,2618 May 1,22:28:05,T,15S,31E
11124,2618 October 25,23:42:26,T,12N,9E
11125,2619 April 20,23:33:42,T,12S,15E
11126,2619 October 15,13:22:29,T,9N,164E
11127,2620 April 9,06:58:47,P,8S,96W
11128,2620 October 3,20:33:57,N,5N,57E
11129,2621 February 28,11:09:03,P,9N,155W
11130,2621 August 24,05:54:22,N,12S,79W
11131,2622 February 18,02:32:59,T,12N,26W
11132,2622 August 13,10:06:08,T-,15S,141W
11133,2623 February 7,13:25:20,T,15N,170E
11134,2623 August 2,21:35:48,P,17S,46E
11135,2624 January 27,16:56:50,N,18N,117E
11136,2624 June 23,07:19:46,N,25S,100W
11137,2624 July 22,14:00:56,N,19S,160E
11138,2624 December 16,21:40:25,N,24N,42E
11139,2625 June 12,22:36:39,P,24S,30E
11140,2625 December 6,03:40:53,P,23N,49W
11141,2626 June 2,07:46:44,T+,22S,108W
11142,2626 November 25,16:35:27,T-,20N,116E
11143,2627 May 22,09:59:12,P,19S,142W
11144,2627 November 15,08:35:40,P,17N,124W
11145,2628 April 10,20:04:00,N,9S,68E
11146,2628 October 5,11:22:30,N,6N,165W
11147,2629 March 31,05:24:37,T,4S,72W
11148,2629 September 24,16:36:45,T,1N,117E
11149,2630 March 20,20:15:16,T,0N,67E
11150,2630 September 13,16:57:18,T,4S,114E
11151,2631 March 10,12:13:33,P,5N,172W
11152,2631 September 2,19:39:18,N,9S,74E
11153,2632 January 29,09:52:07,N,17N,137W
11154,2632 July 23,21:26:01,P,19S,49E
11155,2633 January 17,11:31:11,T,20N,162W
11156,2633 July 13,14:26:23,T+,22S,154E
11157,2634 January 6,10:40:40,T+,23N,150W
11158,2634 July 3,06:34:23,P,24S,88W
11159,2634 December 26,14:51:05,P,24N,146E
11160,2635 May 24,04:26:35,N,20S,58W
11161,2635 June 22,17:24:39,Nb,25S,108E
11162,2635 November 16,15:52:29,N,18N,127E
11163,2635 December 16,02:16:39,N,25N,27W
11164,2636 May 12,05:23:36,P,18S,73W
11165,2636 November 5,07:58:56,T,15N,115W
11166,2637 May 1,06:52:10,T-,15S,95W
11167,2637 October 25,21:14:11,T,13N,46E
11168,2638 April 20,14:49:41,P,12S,146E
11169,2638 October 15,03:52:17,N,9N,53W
11170,2639 March 11,19:45:23,P,5N,75E
11171,2639 September 4,12:37:54,N,8S,180E
11172,2640 February 29,11:07:48,T,8N,155W
11173,2640 August 23,17:09:19,T,11S,113E
11174,2641 February 17,21:46:04,T,11N,45E
11175,2641 August 13,04:58:42,T,14S,64W
11176,2642 February 7,01:00:14,N,15N,3W
11177,2642 July 4,14:48:51,N,24S,148E
11178,2642 August 2,21:30:59,N,16S,48E
11179,2642 December 28,05:49:29,N,24N,78W
11180,2643 June 24,05:52:24,P,24S,78W
11181,2643 December 17,12:08:59,P,24N,175W
11182,2644 June 12,14:40:34,T+,23S,149E
11183,2644 December 6,01:12:54,T-,22N,12W
11184,2645 June 1,16:40:36,P,21S,119E
11185,2645 November 25,17:08:16,P,20N,109E
11186,2646 April 22,03:35:31,N,13S,45W
11187,2646 October 16,19:00:12,N,10N,80E
11188,2647 April 11,13:28:29,T,9S,167E
11189,2647 October 5,23:42:33,T,5N,10E
11190,2648 March 31,04:38:32,T,4S,60W
11191,2648 September 23,23:50:09,T,0N,10E
11192,2649 March 20,20:41:39,P,1N,61E
11193,2649 September 13,02:45:09,N,5S,33W
11194,2650 February 8,18:09:59,N,14N,100E
11195,2650 August 4,04:51:39,P,16S,62W
11196,2651 January 28,19:32:59,T,18N,79E
11197,2651 July 24,21:56:01,T+,20S,42E
11198,2652 January 17,18:48:27,T+,21N,89E
11199,2652 July 13,13:52:27,P,22S,163E
11200,2653 January 5,23:18:55,P,23N,20E
11201,2653 June 3,11:18:15,N,21S,160W
11202,2653 July 3,00:17:37,N,24S,6E
11203,2653 November 27,00:26:25,N,20N,0W
11204,2653 December 26,11:00:19,N,25N,156W
11205,2654 May 23,12:09:21,P,20S,174W
11206,2654 November 16,16:23:11,T,18N,120E
11207,2655 May 12,14:01:47,T-,18S,158E
11208,2655 November 6,05:13:36,T+,16N,73W
11209,2656 April 30,22:32:51,P,16S,30E
11210,2656 October 25,11:18:45,Nx,13N,165W
11211,2657 March 22,04:15:37,N,0N,53W
11212,2657 September 14,19:26:58,N,4S,77E
11213,2658 March 11,19:37:41,T,4N,77E
11214,2658 September 4,00:17:32,T,7S,5E
11215,2659 March 1,06:01:08,T,7N,78W
11216,2659 August 24,12:25:53,T,11S,176W
11217,2660 February 18,09:00:08,N,11N,123W
11218,2660 July 14,22:16:53,N,23S,37E
11219,2660 August 13,05:03:27,N,13S,65W
11220,2661 January 7,14:01:35,N,23N,160E
11221,2661 July 4,13:05:13,P,23S,175E
11222,2661 December 27,20:41:10,P,24N,59E
11223,2662 June 23,21:28:04,T+,23S,48E
11224,2662 December 17,09:55:29,T-,23N,141W
11225,2663 June 12,23:16:24,P,22S,21E
11226,2663 December 7,01:45:56,P,22N,20W
11227,2664 May 2,11:00:10,N,17S,157W
11228,2664 June 1,00:26:03,Nb,21S,3E
11229,2664 October 27,02:45:20,N,14N,36W
11230,2665 April 21,21:25:02,T,13S,48E
11231,2665 October 16,06:55:19,P,9N,98W
11232,2666 April 11,12:53:42,T+,8S,176E
11233,2666 October 5,06:52:02,T-,5N,96W
11234,2667 April 1,04:59:45,P,3S,64W
11235,2667 September 24,10:00:39,P,0S,142W
11236,2668 February 20,02:22:36,N,10N,23W
11237,2668 August 14,12:20:04,P,13S,174W
11238,2669 February 8,03:33:04,P,15N,41W
11239,2669 August 4,05:25:20,T+,17S,70W
11240,2670 January 28,02:57:43,T+,18N,32W
11241,2670 July 24,21:06:28,P,20S,55E
11242,2671 January 17,07:50:18,P,22N,106W
11243,2671 June 14,18:03:01,N,22S,99E
11244,2671 July 14,07:06:49,N,23S,95W
11245,2671 December 8,09:06:19,N,21N,129W
11246,2672 January 6,19:46:59,N,24N,74E
11247,2672 June 2,18:50:39,P,22S,87E
11248,2672 November 27,00:53:08,P,21N,7W
11249,2673 May 22,21:07:24,T-,21S,52E
11250,2673 November 16,13:18:11,T+,19N,166E
11251,2674 May 12,06:11:01,P,19S,84W
11252,2674 November 5,18:52:17,P,17N,82E
11253,2675 April 2,12:37:33,N,4S,178W
11254,2675 May 1,21:07:16,Nb,17S,52E
11255,2675 September 26,02:25:48,N,0N,28W
11256,2676 March 22,03:59:06,T,0S,48W
11257,2676 September 14,07:34:06,T,3S,105W
11258,2677 March 11,14:08:06,T,3N,160E
11259,2677 September 3,19:58:59,T,7S,70E
11260,2678 February 28,16:52:54,N,7N,119E
11261,2678 July 26,05:42:41,N,21S,73W
11262,2678 August 24,12:38:23,N,10S,179W
11263,2679 January 18,22:16:02,N,22N,38E
11264,2679 July 15,20:14:10,P,22S,68E
11265,2680 January 8,05:16:52,P,23N,68W
11266,2680 July 4,04:11:07,T-,23S,51W
11267,2680 December 27,18:43:05,T-,23N,89E
11268,2681 June 23,05:46:34,P,23S,76W
11269,2681 December 17,10:29:13,P,22N,149W
11270,2682 May 13,18:18:50,N,20S,94E
11271,2682 June 12,07:13:50,N,22S,98W
11272,2682 November 7,10:37:27,N,17N,154W
11273,2683 May 3,05:14:46,P,16S,70W
11274,2683 October 27,14:16:32,P,13N,152E
11275,2684 April 21,21:02:50,T+,12S,54E
11276,2684 October 15,14:01:43,T-,9N,156E
11277,2685 April 11,13:11:29,P,8S,173E
11278,2685 October 4,17:24:11,P,4N,106E
11279,2686 March 2,10:28:53,N,6N,145W
11280,2686 August 25,19:52:22,P,9S,72E
11281,2687 February 19,11:28:02,P,11N,159W
11282,2687 August 15,12:57:37,T+,14S,177E
11283,2688 February 8,11:03:30,T+,15N,153W
11284,2688 August 4,04:22:03,P,17S,54W
11285,2689 January 27,16:21:23,P,19N,128E
11286,2689 June 25,00:41:31,N,22S,1E
11287,2689 July 24,13:53:09,N,21S,164E
11288,2689 December 18,17:51:16,N,22N,101E
11289,2690 January 17,04:35:17,N,22N,57W
11290,2690 June 14,01:25:03,P,23S,11W
11291,2690 December 8,09:29:22,P,22N,135W
11292,2691 June 3,04:06:13,T-,22S,52W
11293,2691 November 27,21:30:20,T+,21N,44E
11294,2692 May 22,13:43:08,P,21S,163E
11295,2692 November 16,02:32:31,P,20N,32W
11296,2693 April 12,20:52:52,N,8S,58E
11297,2693 May 12,05:00:40,N,20S,66W
11298,2693 October 6,09:32:29,N,4N,135W
11299,2694 April 2,12:12:44,T,5S,172W
11300,2694 September 25,14:58:03,P,1N,144E
11301,2695 March 22,22:07:31,T,1S,40E
11302,2695 September 15,03:38:20,T+,3S,46W
11303,2696 March 11,00:39:17,N,3N,2E
11304,2696 September 3,20:18:25,P,6S,65E
11305,2697 January 29,06:31:11,N,19N,84W
11306,2697 July 26,03:21:15,P,20S,38W
11307,2698 January 18,13:54:16,P,21N,164E
11308,2698 July 15,10:51:12,T-,21S,151W
11309,2699 January 8,03:32:27,T-,22N,42W
11310,2699 July 4,12:14:28,P,22S,172W
11311,2699 December 28,19:15:28,P,22N,81E
11312,2700 May 25,01:32:20,N,22S,13W
11313,2700 June 23,13:59:43,N,22S,161E
11314,2700 November 18,18:35:06,N,20N,87E
11315,2701 May 14,12:58:21,P,19S,175E
11316,2701 November 7,21:45:22,P,17N,40E
11317,2702 May 4,05:02:21,T+,16S,66W
11318,2702 October 27,21:21:47,T-,13N,46E
11319,2703 April 23,21:12:57,P,12S,52E
11320,2703 October 17,00:58:02,P,8N,8W
11321,2704 March 13,18:26:58,N,2N,95E
11322,2704 September 6,03:30:17,N,5S,43W
11323,2704 October 5,11:58:46,Nb,3N,172W
11324,2705 March 2,19:18:45,P,7N,83E
11325,2705 August 26,20:31:01,T,10S,63E
11326,2706 February 19,19:08:31,T+,12N,86E
11327,2706 August 16,11:37:00,T,14S,162W
11328,2707 February 9,00:51:51,P,16N,1E
11329,2707 July 7,07:16:15,Ne,21S,97W
11330,2707 August 5,20:39:14,N,18S,63E
11331,2707 December 31,02:40:18,N,22N,29W
11332,2708 January 29,13:24:03,N,20N,172E
11333,2708 June 25,07:57:36,P,23S,108W
11334,2708 December 19,18:08:42,P,23N,97E
11335,2709 June 14,11:03:25,T+,23S,155W
11336,2709 December 9,05:46:36,T+,23N,79W
11337,2710 June 3,21:10:23,P,23S,53E
11338,2710 November 28,10:19:44,P,22N,148W
11339,2711 April 25,04:59:49,N,12S,64W
11340,2711 May 24,12:47:50,N,22S,178E
11341,2711 October 18,16:49:35,N,8N,115E
11342,2712 April 13,20:16:52,T,9S,67E
11343,2712 October 6,22:32:13,P,5N,30E
11344,2713 April 3,05:57:08,T,5S,78W
11345,2713 September 26,11:24:41,T+,1N,163W
11346,2714 March 23,08:17:02,Nx,2S,113W
11347,2714 September 16,04:03:38,P,2S,52W
11348,2715 February 10,14:44:02,N,16N,153E
11349,2715 August 7,10:27:45,P,17S,144W
11350,2716 January 30,22:32:36,P,18N,36E
11351,2716 July 26,17:28:56,T-,19S,110E
11352,2717 January 19,12:23:43,T-,20N,173W
11353,2717 July 15,18:39:40,P,21S,92E
11354,2718 January 9,04:04:42,P,21N,49W
11355,2718 June 5,08:40:08,N,24S,119W
11356,2718 July 4,20:42:24,N,22S,61E
11357,2718 November 30,02:39:40,N,23N,33W
11358,2719 May 25,20:36:44,P,21S,61E
11359,2719 November 19,05:21:16,P,20N,74W
11360,2720 May 14,12:56:50,T+,19S,176E
11361,2720 November 7,04:50:33,T-,16N,66W
11362,2721 May 4,05:07:36,P,15S,67W
11363,2721 October 27,08:40:23,P,12N,123W
11364,2722 March 25,02:17:14,N,3S,22W
11365,2722 September 17,11:14:28,N,1S,159W
11366,2722 October 16,19:56:04,N,7N,69E
11367,2723 March 14,03:00:48,P,3N,32W
11368,2723 September 7,04:10:10,T,6S,52W
11369,2724 March 2,03:07:53,T+,8N,33W
11370,2724 August 26,18:54:49,T,10S,88E
11371,2725 February 19,09:18:57,P,12N,126W
11372,2725 August 16,03:25:48,N,15S,39W
11373,2726 January 10,11:31:30,N,21N,161W
11374,2726 February 8,22:10:40,N,16N,42E
11375,2726 July 6,14:25:33,P,22S,156E
11376,2726 December 31,02:52:31,P,23N,32W
11377,2727 June 25,17:57:08,T+,23S,103E
11378,2727 December 20,14:07:35,T+,23N,158E
11379,2728 June 14,04:34:21,P,24S,57W
11380,2728 December 8,18:13:34,P,23N,95E
11381,2729 May 5,12:59:44,N,15S,176E
11382,2729 June 3,20:29:16,N,24S,63E
11383,2729 October 29,00:15:40,N,12N,3E
11384,2730 April 25,04:13:03,P,13S,52W
11385,2730 October 18,06:15:28,P,9N,86W
11386,2731 April 14,13:37:27,T-,9S,167E
11387,2731 October 7,19:19:13,T+,6N,78E
11388,2732 April 2,15:47:26,Nx,6S,135E
11389,2732 September 26,11:53:56,P,2N,170W
11390,2733 February 20,22:54:49,N,12N,31E
11391,2733 August 17,17:35:07,N,14S,109E
11392,2734 February 10,07:08:47,P,15N,93W
11393,2734 August 7,00:06:17,T-,17S,11E
11394,2735 January 30,21:13:45,T-,18N,55E
11395,2735 July 27,01:06:30,P,19S,4W
11396,2736 January 20,12:52:56,P,19N,180E
11397,2736 June 15,15:45:49,N,25S,135E
11398,2736 July 15,03:26:59,N,20S,39W
11399,2736 December 10,10:49:08,N,24N,153W
11400,2737 June 5,04:09:30,P,23S,51W
11401,2737 November 29,13:04:48,P,22N,172E
11402,2738 May 25,20:43:19,T+,21S,60E
11403,2738 November 18,12:29:42,T-,19N,180E
11404,2739 May 15,12:52:11,P,18S,178E
11405,2739 November 7,16:33:47,P,15N,119E
11406,2740 April 4,09:58:17,N,7S,138W
11407,2740 September 27,19:04:39,N,3N,83E
11408,2740 October 27,04:01:09,N,11N,53W
11409,2741 March 24,10:36:55,P,2S,147W
11410,2741 September 17,11:52:55,T,2S,168W
11411,2742 March 13,11:02:37,T+,3N,152W
11412,2742 September 7,02:14:46,T,6S,23W
11413,2743 March 2,17:43:04,P,8N,109E
11414,2743 August 27,10:15:10,N,11S,142W
11415,2744 January 21,20:23:11,N,19N,68E
11416,2744 February 20,06:54:26,N,13N,89W
11417,2744 July 16,20:55:09,P,20S,59E
11418,2745 January 10,11:37:38,P,21N,162W
11419,2745 July 6,00:50:21,T+,22S,0E
11420,2745 December 30,22:31:19,T+,23N,34E
11421,2746 June 25,11:55:59,P,24S,167W
11422,2746 December 20,02:11:51,P,24N,23W
11423,2747 May 16,20:51:32,N,18S,58E
11424,2747 June 15,04:06:13,N,24S,50W
11425,2747 November 9,07:52:28,N,15N,110W
11426,2747 December 9,01:24:50,N,24N,13W
11427,2748 May 5,12:00:09,P,16S,169W
11428,2748 October 28,14:07:40,P,13N,156E
11429,2749 April 24,21:07:32,T-,13S,54E
